No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考,クラス,カウント
151,雪倉岳,36.7947222,137.7541666,ゆきくらだけ,2611,新潟県・富山県,北アルプス・北信,,二百名山,0
152,針ノ木岳,36.5380555,137.6844444,はりのきだけ,2821,富山県・長野県,北アルプス・北信,,二百名山,0
153,烏帽子岳,36.4794444,137.6508333,えぼしだけ,2628,富山県・長野県,北アルプス・北信,,二百名山,0
154,赤牛岳,36.4616666,137.6033333,あかうしだけ,2864,富山県,北アルプス・北信,,二百名山,0
155,毛勝山,36.7011111,137.5908333,けかつやま,2415,富山県,北アルプス・北信,H26年標高変更,二百名山,0
156,奥大日岳,36.5983333,137.5808333,おくだいにちだけ,2611,富山県,北アルプス・北信,,二百名山,0
157,有明山,36.3911111,137.7705555,ありあけやま,2268,長野県,北アルプス・北信,,二百名山,0
158,餓鬼岳,36.4472222,137.7361111,がきだけ,2647,長野県,北アルプス・北信,,二百名山,0
159,燕岳,36.4069444,137.7127777,つばくろだけ,2763,長野県,北アルプス・北信,,二百名山,0
160,大天井岳,36.365,137.7011111,だいてんじょうだけ,2922,長野県,北アルプス・北信,,二百名山,1
161,霞沢岳,36.2211111,137.6405555,かすみざわだけ,2646,長野県,北アルプス・北信,,二百名山,0
162,黒姫山,36.8133333,138.1272222,くろひめやま,2053,長野県,北アルプス・北信,,二百名山,0
163,戸隠山,36.7702777,138.055,とがくしやま,1904,長野県,北アルプス・北信,,二百名山,0
164,飯縄山,36.7394444,138.1336111,いいづなやま,1917,長野県,北アルプス・北信,,二百名山,0
165,鋸岳,35.7788888,138.21,のこぎりだけ,2685,山梨県･長野県,南･中央アルプス,,二百名山,0
166,農鳥岳,35.6211111,138.2369444,のうとりだけ,3026,山梨県・静岡県,南･中央アルプス,,二百名山,0
167,上河内岳,35.3897222,138.1527777,かみこうちだけ,2803,長野県・静岡県,南･中央アルプス,,二百名山,0
168,池口岳,35.3302777,138.0383333,いけぐちだけ,2392,長野県・静岡県,南･中央アルプス,,二百名山,0
169,大無間山,35.2561111,138.1616666,だいむげんざん,2330,静岡県,南･中央アルプス,H26年標高変更,二百名山,0
170,櫛形山,35.5866666,138.3691666,くしがたやま,2052,山梨県,南･中央アルプス,,二百名山,0
171,笊ヶ岳,35.4241666,138.2594444,ざるがたけ,2629,山梨県・静岡県,南･中央アルプス,,二百名山,0
172,七面山,35.3694444,138.3488888,しちめんざん,1989,山梨県,南･中央アルプス,,二百名山,0
173,経ヶ岳,35.9127777,137.8625,きょうがたけ,2296,長野県,南･中央アルプス,,二百名山,0
174,南駒ヶ岳,35.7013888,137.8108333,みなみこまがたけ,2841,長野県,南･中央アルプス,,二百名山,0
175,安平路山,35.6305555,137.7744444,あんぺいじやま,2363,長野県,南･中央アルプス,,二百名山,0
176,小秀山,35.7855555,137.3969444,こひでやま,1982,長野県･岐阜県,近畿･北陸,,二百名山,0
177,位山,36.0383333,137.1966666,くらいやま,1529,岐阜県,近畿･北陸,,二百名山,0
178,金剛堂山,36.3788888,137.0488888,こんごうどうざん,1650,富山県,近畿･北陸,,二百名山,0
179,笈ヶ岳,36.2986111,136.7922222,おいずるがだけ,1841,富山県・石川県・岐阜県,近畿･北陸,,二百名山,0
180,大日ヶ岳,36.0013888,136.8377777,だいにちがたけ,1709,岐阜県,近畿･北陸,,二百名山,0
181,能郷白山（権現山）,35.7625,136.5141666,のうごうはくさん（ごんげんさん）,1617,岐阜県,近畿･北陸,,二百名山,0
182,御在所山,35.0205555,136.4177777,ございしょやま,1212,滋賀県･三重県,近畿･北陸,,二百名山,0
183,金剛山,34.4194444,135.6730555,こんごうざん,1125,奈良県,近畿･北陸,,二百名山,0
184,釈迦ヶ岳,34.1144444,135.9030555,しゃかがだけ,1800,奈良県,近畿･北陸,,二百名山,0
185,伯母小岳,34.0775,135.6508333,おばこだけ,1344,奈良県,近畿･北陸,,二百名山,0
186,武奈ヶ岳,35.2647222,135.8969444,ぶながだけ,1214,滋賀県,近畿･北陸,,二百名山,0
187,氷ノ山（須賀ノ山）,35.3538888,134.5138888,ひょうのせん（すがのせん）,1510,兵庫県・鳥取県,近畿･北陸,,二百名山,0
188,蒜山（上蒜山）,35.325,133.6633333,ひるぜん（かみひるぜん）,1202,鳥取県･岡山県,中四国・九州,,二百名山,0
189,三瓶山（男三瓶山）,35.1405555,132.6216666,さんべさん（おさんべさん）,1126,島根県,中四国・九州,,二百名山,0
190,三嶺,33.8394444,133.9877777,みうね,1894,徳島県･高知県,中四国・九州,H26年標高変更,二百名山,0
191,東赤石山,33.875,133.375,ひがしあかいしやま,1706,愛媛県,中四国・九州,,二百名山,0
192,笹ヶ峰,33.8280555,133.2747222,ささがみね,1860,愛媛県･高知県,中四国・九州,H26年標高変更,二百名山,0
193,英彦山（南岳）,33.4761111,130.9261111,ひこさん,1199,福岡県･大分県,中四国・九州,H26年標高変更,二百名山,0
194,雲仙岳（普賢岳）,32.76,130.2922222,うんぜんだけ（ふげんだけ）,1359,長崎県,中四国・九州,,二百名山,0
195,由布岳,33.2822222,131.3902777,ゆふだけ,1583,大分県,中四国・九州,,二百名山,0
